,team,Unnamed: 0,season,week,opponent_team,completions_ewma,passing_yards_ewma,passing_tds_ewma,rushing_yards_ewma,sacks_suffered_ewma,rushing_tds_ewma,completion_pct_ewma,turnovers_offense_ewma,turnovers_defense_ewma,turnover_margin_ewma,def_tackles_for_loss_ewma,penalty_yards_ewma,fg_pct_ewma,pat_pct_ewma
0,ARI,2790,2025,18,LA,22.6178739746177,248.73434318643527,1.9214946434809856,75.92110993246781,4.229323161658983,0.0448607834210303,0.6403716521502437,1.1983214386479104,0.2144308871430143,-0.983890551504896,3.6296249587597313,41.46598115526574,0.815592729715702,1.0
1,ATL,2791,2025,18,NO,18.17383986901156,188.1243234493268,1.2780893668704256,120.4882517936767,2.033052880489677,0.585312361414656,0.6012249162617577,0.9608215709876224,1.489242012241101,0.5284204412534785,5.706962585989939,47.05062376001372,0.8906451498795008,0.9502319831578948
2,BAL,2792,2025,18,PIT,13.4449799806976,184.87419558074123,1.692680740326605,190.93893160486832,2.2324249045499904,1.5798763684036607,0.6821272817958675,1.0127610066436097,0.6179320074338305,-0.3948289992097792,2.9023506000838655,52.37920596042056,0.7249199285540167,0.9740057602655932
3,BUF,2793,2025,18,NYJ,20.34029098488955,231.39025474135,2.106496223228723,174.56836101265162,2.012044968689664,1.6445354104913918,0.7041496705614383,0.45862241501184,0.552614874513408,0.0939924595015679,4.5318875439104,34.56359548986327,0.9796220958157166,0.691817070592
4,CAR,2794,2025,18,TB,19.64062301033595,189.21458213169396,1.4274160260743167,72.11403799828234,1.1504097312964607,0.3565630726471679,0.6516066100164158,1.4742296742526977,1.2339583130337282,-0.2402713612189696,4.600071656289075,42.5836906518741,0.57071259303936,0.9899322048943158
5,CHI,2795,2025,18,DET,20.59968473592627,246.1236791086678,1.9577192038989824,108.67051437591756,0.8306883565846529,0.773551273967616,0.5866490477884891,0.5250372110123008,1.0392774786482175,0.5142402676359168,3.0857760601669635,41.43524627452395,0.9204206925285052,1.0
6,CIN,2796,2025,18,CLE,27.112396494248344,272.23831777844265,2.604294098799821,121.57286609720444,2.2164518834339844,1.072403420184576,0.7255835221533121,1.1735403160666111,0.431917680033792,-0.7416226360328192,3.8793513974628353,34.347066788734566,0.9913231958441558,0.552
7,CLE,2797,2025,18,CIN,15.28263613666427,158.41419590121552,0.6131851696472065,105.02612680067644,4.05600899825664,0.2415387365277695,0.591324085271348,1.621389506707456,0.638750675697664,-0.982638831009792,4.143512335666381,41.160410204412315,0.994166647663562,0.9996786715096662
8,DAL,2798,2025,18,NYG,19.00781411652731,236.328142094218,0.9922613478555647,147.44428671289918,2.0925172398292995,1.327743142264832,0.5994255062377087,1.209087800410112,0.1071376158818303,-1.1019501845282815,5.660652122413466,78.17907290810614,0.698509568,0.99982585741312
9,DEN,2799,2025,18,LAC,21.337337839242444,208.6229455375565,0.8108265219883007,114.14318817603092,2.2460010764763134,0.67054906097664,0.6419646943455274,0.6816564453507071,0.6888834754871296,0.0072270301364224,4.483600412632678,37.88831687414251,0.9247297134455844,1.0
